,name,id,artist,artist_id,popularity,release_date,season
59,I Got You Babe,4SGBuq37Ol4HJr7pQqFMKa,Sonny & Cher,71lGEtP9qYXDsSXjfexTqO,63,1965,summer
60,Dancing In The Street,6rLqjzGV5VMLDWEnuUqi8q,Martha Reeves & The Vandellas,1Pe5hlKMCTULjosqZ6KanP,63,1965-01-01,summer
61,Train in Vain (Stand by Me) - Remastered,6ITuEsxEy2qPhqMowdDAeI,The Clash,3RGLhK1IP9jnYFH4BRFJBS,63,1979,summer
62,Everyday People,4ZVZBc5xvMyV3WzWktn8i7,Sly & The Family Stone,5m8H6zSadhu1j9Yi04VLqD,63,1969-05-03,summer
63,Summer in the City - Remastered,7AzFID6u1b3zIWbd9pb8Dk,The Lovin' Spoonful,7CCn4PFRRRZF127jtCBAUe,62,1966-11,summer
64,Summertime,2gNjmvuQiEd2z9SqyYi8HH,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,62,1958-01-01,summer
65,My Guy,4591VqUIXysNlmI5NcAIUd,Mary Wells,1cjZk1xXn3YCToNg3uJpA7,62,1964,summer
66,Please Mr. Postman,74jZhGv0fdLaf9q8AZZ15k,Carpenters,1eEfMU2AhEo7XnKgL7c304,62,1975-06-06,summer
67,Joy To The World,2ymeOsYijJz09LfKw3yM2x,Three Dog Night,4FAEZeJcsYYBkNq2D3KGTV,61,1970-01-01,summer
68,Move on Up - Single Edit,0MHXrqn909p0LRTPsNsGEi,Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm,61,1970,summer
69,Uptown Top Ranking - Remastered 2001,34zWZOSpU2V1ab0PiZCcv4,Althea And Donna,5E8FbSTegbOlYAH4b2rZj2,60,1978-01-01,summer
70,September,3wpLkju0bJy89kjgdRys0j,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,60,2014-03-25,summer
71,Sunshine Of Your Love,6FRwDxXsvSasw0y2eDArsz,Cream,74oJ4qxwOZvX6oSsu1DGnw,60,1967-11-02,summer
72,Sherry,7sqK6f8dHVx3Q1GjFrVyGl,Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,60,1962-10-01,summer
73,I Can See Clearly Now,7aJZxI6TVdIvQSuWxQ4rqp,Jimmy Cliff,3rJ3m1tM6vUgiWLjfV8sRf,60,2002-06-11,summer
74,Cruisin',2gliw3L0oa4w8LqaHploje,Smokey Robinson,0h9smro0z3HqUbD94jotU8,59,1979-05-22,summer
75,Breezin',1m3BAsNsQAaSNMD2M6vlKY,George Benson,4N8BwYTEC6XqykGvXXlmfv,58,1976,summer
76,Our Last Summer,6hHXft1nFyvfVv6UoRToPZ,ABBA,0LcJLqbBmaGUft1e9Mm8HV,58,1980,summer
77,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",7eafuv44YprITfOdzfVLoU,Eric Carmen,2ekjTXgjxbWwBX5lTAj4DU,58,1987-09-24,summer
78,(Love Is Like A) Heat Wave,3VgrSJEKBRT3xmwzpaxxEF,Martha Reeves & The Vandellas,1Pe5hlKMCTULjosqZ6KanP,58,1963,summer
79,Up on the Roof,7cNRqg0lbiqBaGeOlA4AEU,The Drifters,1FqqOl9itIUpXr4jZPIVoT,57,1964-06-01,summer
80,California Girls - Remix/Remastered 2001,6bJuuCtXYiwOcKT9s8uRh8,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,56,1965-07-05,summer
81,"Aquarius/Let The Sunshine In (The Flesh Failures) - From the Musical ""Hair""",0HZlND4giwzgolBpaNIRGV,The 5th Dimension,1UUYAQ9LiRsZF0ZukQNWXM,56,1969,summer
82,This Will Be (An Everlasting Love) - 2003 Remaster,241RmK77gecJ1y7jOoQ5lu,Natalie Cole,5tTsrGPwQRWUsHR2Xf7Ke9,56,2003-01-01,summer
83,One Fine Day,6vcG9EgeqJUSmmF65lxUm6,The Chiffons,05sIdEkXAYDbDDdv3T56Oj,56,2004-10-02,summer
84,It's Your Thing,3ZxfehzRtB3oJcBuxWXFZQ,The Isley Brothers,53QzNeFpzAaXYnrDBbDrIp,55,1969-08-21,summer
85,I'm Into Something Good,3z6m2FukK7Vd5xYrjOLDLR,Herman's Hermits,48YxSlb23RAaCd4RyHcV9V,53,1966-01-01,summer
86,Hotel California - 2013 Remaster,1ZA8L9IOkRhmmz4nPXXx7h,Eagles,0ECwFtbIWEVNwjlrfc6xoL,52,2013-04-26,summer
87,Da Doo Ron Ron (When He Walked Me Home),0fonScmHUzC0MglSLn9saA,The Crystals,7rewR1TVjhisjI6gauUamf,52,2011-02-22,summer
88,Concrete Schoolyard,37pnnS4zO9s6xzeblq9Jrd,Jurassic 5,6wFId9Jhuf9AKVzWboOj2B,52,2008-02-06,summer
89,Rock Steady,7rvGZDlfqCjY9EWEUg3Xs6,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,50,1972-01-24,summer
90,The Tide Is High - Remastered 2001,3lGBRoe3c6oV398Xwgf7c7,Blondie,4tpUmLEVLCGFr93o8hFFIB,48,1980-11-01,summer
91,"Summer Breeze, Pts. 1 & 2",7wcP2Aa2SliFhwi4SyfvfV,The Isley Brothers,53QzNeFpzAaXYnrDBbDrIp,50,1973-08-21,summer
92,"Sugar, Sugar",6l5D1WC6kR5cxaUOEyCGvs,The Archies,33QmoCkSqADuQEtMCysYLh,48,1968-01-15,summer
93,Red Red Wine,1vYew137WJ69SFp9oez3xm,UB40,69MEO1AADKg1IZrq2XLzo5,48,2012-01-01,summer
94,Pipeline,3Wwy5wlxd8CpKMZGc4Mgjf,The Chantays,4x6kNCpQ9veqQ17vllEJUR,47,1963,summer
