,name,id,artist,artist_id,popularity,release_date,season
2435,Smell Like Smoke,6hWUxgcCGGCd17i2eZ5qbJ,Lainey Wilson,6tPHARSq45lQ8BSALCfkFC,57,2022-11-28,winter
2436,Tennessee Orange,6DLbBlGIOjjEj0dNN25zhZ,Megan Moroney,5Ppie0uPnbnvGBYRwYmlt0,76,2023-05-05,winter
2437,I'm Not Pretty,2ePiBvKtQOCBHq9uOlwiiU,Megan Moroney,5Ppie0uPnbnvGBYRwYmlt0,71,2023-05-05,winter
2438,The Chilton Song,5Na2qPOnzyfDYglY3V0Mzv,The Panhandlers,3PDBePAkhZWQPgR72nhbW8,23,2022-10-07,winter
2439,Tryin' To Untangle My Mind,0b5eGJurmVg0niGBgYkoAG,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,49,2017-12-01,winter
2440,Midnight Train To Memphis,6tInq1Sn2eehdsQGA9Aafh,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,60,2017-12-01,winter
2441,Second One To Know,0oTGa77jJ1H5joTG5SvxFj,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,61,2017-05-05,winter
2442,Ashes,5E6cSqau3Pee7vZR1CXxCL,Flatland Cavalry,4SfGzWmeoNPKIOmiyc7Pav,0,2019-01-18,winter
2443,Broken Halos,06gD2ZtK3Dzc1BYqWExQJJ,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,77,2017-05-05,winter
2444,Cast No Stones,5X9XScdWmHaX6PGi9aKsSw,Cody Jinks,2v7wIbCkIzxOfT3GnqCexD,0,2015-01-12,winter
2445,Doreen,6xCCk3yWiHepz9wy2SZ0Fd,Turnpike Troubadours,1YSA4byX5AL1zoTsSTlB03,32,2015-09-18,winter
2446,Every Girl,3l4cnZdtNbVZgV3ICYh1Ni,Turnpike Troubadours,1YSA4byX5AL1zoTsSTlB03,54,2010-08-31,winter
2447,Hippies and Cowboys,72Fnsr9pkCyXCmY3BS7sbx,Cody Jinks,2v7wIbCkIzxOfT3GnqCexD,0,2010-06-28,winter
2448,Leaving & Lonely,40v7JnpZYzRrKa1MebINlT,Turnpike Troubadours,1YSA4byX5AL1zoTsSTlB03,35,2010-08-31,winter
2449,Love Me in the Water,3RvXAsMENage8104y7nsZx,Flatland Cavalry,4SfGzWmeoNPKIOmiyc7Pav,0,2015-05-19,winter
2450,Millionaire,68JS5SFTnW5Yv9Vzw81Jf0,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,73,2017-12-01,winter
2451,Nobody To Blame,4WRRCuJYRq7gUKiupxVH9W,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,62,2015-05-04,winter
2452,No Shade of Green,5KiwfWPrwlAtoi6J8Kxvof,Flatland Cavalry,4SfGzWmeoNPKIOmiyc7Pav,1,2015-05-19,winter
2453,Parachute,5jROdl6MhcmP3O7h2sVgtw,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,74,2015-05-04,winter
2454,Stompin’ Grounds,4BzoYllBz7adpD3I1vPE8Z,Flatland Cavalry,4SfGzWmeoNPKIOmiyc7Pav,0,2016-04-01,winter
2455,Summertime's Close,7eOuUmpnHBlg5zsm8Cs7c3,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,66,2023-08-25,winter
2456,Thunderbird Will Do Just Fine,0jyLMizqnpG3z3L9ArOwKe,Eleven Hundred Springs,3xU9SGbqqwKMkb4VebrgmY,0,2006-01-01,winter
2457,Traveller,178OI1A3qjROeFeh8lmNwW,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,72,2015-05-04,winter
2458,Let You Down,1HMFdKHDiHY0qmqdVH710d,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,66,2020-11-27,winter
2459,Old Fashioned Feeling,1mlFsqgc3lgTCboLATYHBo,Midland,1DTZRmlVZBxx2wRQBtx6yi,48,2024-05-22,winter
2460,American Nights,3c9EsIo34kil8Oj1reaozB,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,76,2024-07-04,winter
2461,Oak Island,3XbIhTYl6a0uXPyO43eiXa,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,69,2024-07-04,winter
2462,Memphis; The Blues (feat. John Moreland),38vhXqp4YdfkDvqkZdLBp0,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,64,2024-07-04,winter
2463,Like Ida,3mEzpEGoKm3D3gLwnPMBP3,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,64,2024-07-04,winter
2464,Better Days (feat. John Mayer),1vj47xD8v9wIhQrmQY2Dkv,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,75,2024-07-04,winter
2465,Towers,3XMVk0KYK0Ez8NM91NTqBt,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,64,2024-07-04,winter
2466,Sandpaper (feat. Bruce Springsteen),3JzVK0f8gqAAjyEDyXAys4,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,73,2024-07-04,winter
2467,Northern Thunder,30tk4sJS9DadhmnWDRv0hW,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,65,2024-07-04,winter
2468,Pink Skies (feat. Watchhouse),6BTdD91y7j796RSXHvI70v,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,65,2024-07-04,winter
2469,Bathwater,63d94uiSpqf3dqTLxje96d,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,62,2024-07-04,winter
2470,Don't Have To Do This Like That,63eL38SLFLoRiJNMg3NhGa,Flatland Cavalry,4SfGzWmeoNPKIOmiyc7Pav,44,2023-10-27,winter
2471,Let It Roll (feat. Randy Rogers),3QxrEvK3SkTMbnyINGpAAw,Flatland Cavalry,4SfGzWmeoNPKIOmiyc7Pav,38,2024-04-20,winter
2472,School Rooftop (Bird Sounds),66MP31dDAEV6rsmMKDVm9o,Hisohkah,72y6MZHIPEyS64ACSCtIq6,68,2023-05-26,winter
2473,September Instrumental - Slowed,2U0gMMhJu96GfmIdxf2vAz,Goomp,0osA8WHktzmv6QnWfbUyha,58,2023-02-02,winter
2474,It feels like I've forgotten something,3zaFQTIBcEjLKuh2E2CX6X,reidenshi,6SdlxyPsQ3B0yYncFmDULP,59,2023-03-31,winter
2475,nostalgia,768xi4B8fL5dG028KbCjLl,Øneheart,0dgJbQ0bKPyUXco8hEXN7X,61,2023-02-28,winter
2476,Alien Blues,11iIikXxC6NP0Ma8vMD27x,Vundabar,1W4itxt3vwhmrgLEBuVHJ6,79,2015-07-24,winter
2477,The Perfect Girl,5RBOcBpJXaNnHCGViJmYhh,Mareux,7riQPkkGZBnTh9ve5qIhYo,76,2021-12-08,winter
2478,What Would I Do?,5EJA7Rwkeuvm98CZg0XXNO,Strawberry Guy,1AbJ2cmwK400LSvdvBL5Jc,72,2019-07-22,winter
2479,Space Song,1ZgMsA55GIY7ICkQh5MILA,Beach House,56ZTgzPBDge0OvCGgMO3OY,74,2015-08-28,winter
2480,Cigarettes out the Window,6QeYSvYqYUsfBzsApbjDHO,TV Girl,0Y6dVaC9DZtPNH4591M42W,84,2016-02-25,winter
